Method,Language,Library / Object,Returns,Description,Use Case,Example Problem,Example Answer,Import,Input example,Output example
datetime.datetime(),Python,datetime,datetime object,"Creates a datetime object from year, month, day, and optional time values.",Create a precise datetime from date parts,Create a custom datetime.,"obj_datetime = datetime.datetime(first_night.year, first_night.month, first_night.day)",import datetime,"first_night.year=2024, first_night.month=1, first_night.day=15",2024-01-15 0:00:00
relativedelta(),Python,dateutil.relativedelta,relativedelta object or adjusted datetime/date,Represents a relative time difference and is often used to add or subtract calendar-based time such as days or months.,Shift dates by calendar-based units,Create a custom datetime and add a number of days using relativedelta.,"obj_datetime = datetime.datetime(first_night.year, first_night.month, first_night.day)
last_night = obj_datetime + relativedelta(days=stay_length - 1)","import datetime
from dateutil.relativedelta import relativedelta","obj_datetime=2024-01-15 00:00:00, stay_length=4",last_night=2024-01-18 00:00:00
pd.DataFrame.groupby(),Python,pandas.core.frame.DataFrame,DataFrameGroupBy object,"Groups rows into buckets based on one or more keys for aggregation, transformation, or filtering.",Group records before aggregating or transforming,"Count the number of people injured, killed, and unspecified for every crash date.","ex2_df = ex2_df.groupby('CRASH_DATE').agg(
  INJURY_COUNT=('PERSON_INJURY', lambda x: (x == 'Injured').sum()),
  DEATHS_COUNT=('PERSON_INJURY', lambda x: (x == 'Killed').sum()),
  UNSPECIFIED_COUNT=('PERSON_INJURY', lambda x: (x == 'Unspecified').sum())
).reset_index()",import pandas as pd,"CRASH_DATE=[2024-01-01,2024-01-01,2024-01-02], PERSON_INJURY=[Injured,Killed,Unspecified]",Rows grouped into 2024-01-01 and 2024-01-02
pd.agg(),Python,pandas.core.frame.DataFrame,Series or DataFrame,"Applies one or more aggregation functions across rows or columns, or within grouped data.",Summarize a DataFrame with one or more metrics,"Compute sum, min, and max for every column in a DataFrame.","df.agg(['sum', 'min', 'max'])",import pandas as pd,"df={'a':[1,2],'b':[3,4]}",a: sum=3 min=1 max=2; b: sum=7 min=3 max=4
pd.sum(),Python,pandas,pandas,Computes the sum across an axis of a DataFrame.,Total values across DataFrame rows or columns,Compute the sum of every column in a DataFrame.,summary = df.sum(),import pandas as pd,"df={'a':[1,2],'b':[3,4]}","a=3, b=7"
pd.sum(),Python,pandas,pandas,Computes the sum of all values in a Series.,Total values in a single Series,Compute the sum of values in a Series.,total = s.sum(),import pandas as pd,"s=[1,2,3]",6
pd.any(),Python,pandas,pandas,Checks whether any value is True along the specified axis.,Check whether any value is True by axis,Find rows where any column has a missing value.,df[df.isnull().any(axis=1)],import pandas as pd,"df=[[1,None],[2,3]]",Keeps first row only
pd.drop(),Python,pandas,pandas,Removes specified rows or columns by label.,Remove rows or columns by label,Drop the column 'age' from a dataset.,df = df.drop(columns=['age']),import pandas as pd,"df columns=['name','age']",Remaining columns=['name']
pd.DataFrame.merge(),Python,pandas.core.frame.DataFrame,DataFrame,Performs a database-style join between two DataFrames using columns or indexes.,Join two tables using matching keys,Combine a table of reviews with a table of listing details using the listing_id column.,"merged_df = pd.merge(reviews, listings, on='listing_id', how='left')",import pandas as pd,"reviews listing_id=[1,2], listings listing_id=[1,2] with price=[100,200]",Merged table includes price for each review
pd.DataFrame.join(),Python,pandas.core.frame.DataFrame,DataFrame,Joins columns of another DataFrame or Series using the index by default.,Join on index with another table or Series,Combine a grouped Series of averages back onto the original grouped DataFrame using the index.,final_df = grouped_df.join(weighted_avg_series.rename('avg')),import pandas as pd,"grouped_df index=[A,B], weighted_avg_series index=[A,B] values=[2.5,3.0]",grouped_df gains new avg column
pd.concat(),Python,pandas,DataFrame or Series,Concatenates pandas objects along a specified axis.,Stack or align pandas objects together,Combine multiple Series into a single DataFrame by aligning their indexes.,"df = pd.concat([names_series, scores_series], axis=1)",import pandas as pd,"names_series=[Ana,Bob], scores_series=[90,85]",Two-column DataFrame with names and scores
np.random.default_rng(),Python,numpy.random,Generator object,Creates a random number generator instance for reproducible random operations.,Create a reproducible random number generator,Create a repeatable random generator.,rng = np.random.default_rng(seed=42),import numpy as np,seed=42,Generator(PCG64)
np.random.Generator.choice(),Python,numpy.random.Generator,ndarray or scalar,Generates a random sample from a 1D array or integer range.,Sample random values from a set,Randomly select unique items from an array X.,"rng = np.random.default_rng(seed=42)
indices = rng.choice(len(X), size=3, replace=False)
samples = X[indices]",import numpy as np,"X=[10,20,30,40,50], size=3, replace=False",Three selected values from X
str.split(),Python,Built-in,list,Splits a string into a list based on a delimiter.,Split text into pieces,Split a sentence into words,"text = 'hello world'
words = text.split()",—,text='hello world',"['hello', 'world']"
dict.items(),Python,Built-in,dict_items object,Returns a view of key-value pairs from a dictionary.,Loop through dictionary key-value pairs,Iterate through dictionary key-value pairs,"for k, v in d.items():
  print(k, v)",—,"d={'a':1,'b':2}","('a',1), ('b',2)"
pd.DataFrame.iterrows(),Python,pandas.core.frame.DataFrame,iterator,"Iterates over DataFrame rows as (index, Series) pairs",Iterate through DataFrame rows,Loop through rows in a DataFrame,"for i, row in df.iterrows():
  print(row['col'])",import pandas as pd,"df={'col':[10,20]}","Iteration yields (0,10) then (1,20)"
enumerate(),Python,Built-in,iterator,Returns index and value pairs when looping,Loop with indexes and values together,Get index while looping a list,"for i, val in enumerate(lst):
  print(i, val)",—,"lst=['a','b']","(0,'a'), (1,'b')"
zip(),Python,Built-in,iterator,Combines multiple iterables element-wise,Loop through multiple iterables in parallel,Loop through two lists together,"for a, b in zip(list1, list2):
  print(a, b)",—,"list1=[1,2], list2=['a','b']","(1,'a'), (2,'b')"
map(),Python,Built-in,map object,Applies a function to all items in an iterable,Apply the same function to many values,Apply function to each element,"list(map(lambda x: x * 2, lst))",—,"lst=[1,2,3]","[2,4,6]"
pd.DataFrame.drop_duplicates(),Python,pandas.core.frame.DataFrame,DataFrame,Removes duplicate rows from a DataFrame,Remove duplicate rows,Remove duplicate rows from a dataset.,df = df.drop_duplicates(),import pandas as pd,"df rows=[(1,'A'),(1,'A'),(2,'B')]","rows=[(1,'A'),(2,'B')]"
pd.Series.tolist(),Python,pandas.core.series.Series,list,Converts a Series to a Python list,Convert a Series to a Python list,Convert a column to a Python list.,lst = df['col'].tolist(),import pandas as pd,"df['col']=[10,20,30]","[10,20,30]"
pd.apply(),Python,pandas,Series or DataFrame,"Applies a function along an axis or to each value, depending on the pandas object.",Run a custom function across pandas data,Apply function to column values,df['col'] = df['col'].apply(lambda x: x*2),import pandas as pd,"df['col']=[1,2,3]","df['col'] becomes [2,4,6]"
re.search(),Python,re,match object or None,Scans a string for the first location where a pattern matches.,Check whether a pattern appears anywhere in text,Find the first number in a string,"match = re.search(r'\d+', text)",import re,text = 'abc123def',"<re.Match object; span=(3, 6), match='123'>"
re.match(),Python,re,match object or None,Checks for a match only at the beginning of a string.,Validate that text starts with a pattern,Check whether a string starts with digits,"match = re.match(r'\d+', text)",import re,text = '123abc',"<re.Match object; span=(0, 3), match='123'>"
re.findall(),Python,re,list,Returns all non-overlapping matches in a string.,Extract all matching pieces from text,Get all numbers from a mixed string,"matches = re.findall(r'\d+', text)",import re,text = 'a1b22c333',"['1', '22', '333']"
re.sub(),Python,re,str,Replaces matches in a string with a replacement value.,Clean or standardize text,Collapse multiple spaces into one,"cleaned = re.sub(r'\s+', ' ', text)",import re,text = 'a   b    c',a b c'
re.split(),Python,re,list,Splits a string wherever the pattern matches.,Break text apart using a regex delimiter,Split text at one or more digits,"parts = re.split(r'\d+', text)",import re,text = 'abc123def45gh',"['abc', 'def', 'gh']"
re.compile(),Python,re,Pattern object,Compiles a regex pattern for reuse.,Reuse the same regex multiple times efficiently,Create a reusable pattern for digits,pattern = re.compile(r'\d+'),import re,pattern text = r'\d+',re.Pattern object for '\\d+'
re.group(),Python,re.Match,str,Returns the full match or a specific captured group from a match object.,Extract the matched text after search or match,Get the first number found in text,value = match.group(),import re,"match = re.search(r'\d+', 'abc123def')",123'
re.groupdict(),Python,re.Match,dict,Returns named captured groups as a dictionary.,Extract labeled pieces from structured text,Get first and last name from a string,parts = match.groupdict(),import re,"match = re.search(r'(?P<first>\w+)\s+(?P<last>\w+)', 'Ada Lovelace')","{'first': 'Ada', 'last': 'Lovelace'}"
pd.DataFrame.reset_index(),Python,pandas.core.frame.DataFrame,DataFrame,Resets index to default integer index and moves old index into a column,Convert index into a column for easier filtering,I want to turn the index into a column,df = df.reset_index(),import pandas as pd,"df = pd.DataFrame({'A':[10,20]}, index=['x','y'])","index A
0 x 10
1 y 20"
