Method,Library / Object,Argument,Type,Valid Range,Required or Not Required,Default Value
datetime.datetime(),datetime,year,int,1-9999,Required,—
datetime.datetime(),datetime,month,int,1-12,Required,—
datetime.datetime(),datetime,day,int,1-31,Required,—
datetime.datetime(),datetime,hour,int,0-23,Not Required,0
datetime.datetime(),datetime,minute,int,0-59,Not Required,0
datetime.datetime(),datetime,second,int,0-59,Not Required,0
datetime.datetime(),datetime,microsecond,int,0-999999,Not Required,0
datetime.datetime(),datetime,tzinfo,tzinfo or None,valid timezone object,Not Required,None
datetime.datetime(),datetime,fold,int,0 or 1,Not Required,0
relativedelta(),dateutil.relativedelta,dt1,datetime/date,valid date-like,Not Required,None
relativedelta(),dateutil.relativedelta,dt2,datetime/date,valid date-like,Not Required,None
relativedelta(),dateutil.relativedelta,years,int,any integer,Not Required,0
relativedelta(),dateutil.relativedelta,months,int,any integer,Not Required,0
relativedelta(),dateutil.relativedelta,days,int/float,any number,Not Required,0
relativedelta(),dateutil.relativedelta,hours,int/float,any number,Not Required,0
relativedelta(),dateutil.relativedelta,minutes,int/float,any number,Not Required,0
relativedelta(),dateutil.relativedelta,seconds,int/float,any number,Not Required,0
relativedelta(),dateutil.relativedelta,microseconds,int/float,any number,Not Required,0
relativedelta(),dateutil.relativedelta,year,int,valid year,Not Required,None
relativedelta(),dateutil.relativedelta,month,int,1-12,Not Required,None
relativedelta(),dateutil.relativedelta,day,int,1-31,Not Required,None
relativedelta(),dateutil.relativedelta,weekday,weekday object,MO/TU/WE/TH/FR/SA/SU,Not Required,None
pd.DataFrame.groupby(),pandas.core.frame.DataFrame,by,label/list/function/dict/Series/array,valid grouper,Not Required,None
pd.DataFrame.groupby(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.DataFrame.groupby(),pandas.core.frame.DataFrame,level,int/label/list,valid index level,Not Required,None
pd.DataFrame.groupby(),pandas.core.frame.DataFrame,as_index,bool,True or False,Not Required,TRUE
pd.DataFrame.groupby(),pandas.core.frame.DataFrame,sort,bool,True or False,Not Required,TRUE
pd.DataFrame.groupby(),pandas.core.frame.DataFrame,group_keys,bool,True or False,Not Required,TRUE
pd.DataFrame.groupby(),pandas.core.frame.DataFrame,observed,bool,True or False,Not Required,FALSE
pd.DataFrame.groupby(),pandas.core.frame.DataFrame,dropna,bool,True or False,Not Required,TRUE
pd.agg(),pandas.core.series.Series,func,function/string/list/dict,valid aggregation,Not Required,None
pd.agg(),pandas.core.series.Series,axis,int or str,0/'index',Not Required,0
pd.agg(),pandas.core.series.Series,*args,tuple,any positional args,Not Required,()
pd.agg(),pandas.core.series.Series,**kwargs,dict,any keyword args,Not Required,{}
pd.agg(),pandas.core.frame.DataFrame,func,function/string/list/dict,valid aggregation,Not Required,None
pd.agg(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.agg(),pandas.core.frame.DataFrame,*args,tuple,any positional args,Not Required,()
pd.agg(),pandas.core.frame.DataFrame,**kwargs,dict,any keyword args,Not Required,{}
pd.agg(),pandas.core.groupby.generic.SeriesGroupBy,func,function/string/list/dict/None,valid aggregation,Not Required,None
pd.agg(),pandas.core.groupby.generic.SeriesGroupBy,*args,tuple,any positional args,Not Required,()
pd.agg(),pandas.core.groupby.generic.SeriesGroupBy,engine,str,cython' or 'numba',Not Required,None
pd.agg(),pandas.core.groupby.generic.SeriesGroupBy,engine_kwargs,dict,valid engine kwargs,Not Required,None
pd.agg(),pandas.core.groupby.generic.SeriesGroupBy,**kwargs,dict,any keyword args,Not Required,{}
pd.agg(),pandas.core.groupby.generic.DataFrameGroupBy,func,function/string/list/dict/None,valid aggregation,Not Required,None
pd.agg(),pandas.core.groupby.generic.DataFrameGroupBy,*args,tuple,any positional args,Not Required,()
pd.agg(),pandas.core.groupby.generic.DataFrameGroupBy,engine,str,cython' or 'numba',Not Required,None
pd.agg(),pandas.core.groupby.generic.DataFrameGroupBy,engine_kwargs,dict,valid engine kwargs,Not Required,None
pd.agg(),pandas.core.groupby.generic.DataFrameGroupBy,**kwargs,dict,any keyword args,Not Required,{}
pd.sum(),pandas.core.series.Series,axis,int or None,0 or None,Not Required,None
pd.sum(),pandas.core.series.Series,skipna,bool,True or False,Not Required,TRUE
pd.sum(),pandas.core.series.Series,numeric_only,bool,True or False,Not Required,FALSE
pd.sum(),pandas.core.series.Series,min_count,int,>=0,Not Required,0
pd.sum(),pandas.core.series.Series,**kwargs,dict,any keyword args,Not Required,{}
pd.sum(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.sum(),pandas.core.frame.DataFrame,skipna,bool,True or False,Not Required,TRUE
pd.sum(),pandas.core.frame.DataFrame,numeric_only,bool,True or False,Not Required,FALSE
pd.sum(),pandas.core.frame.DataFrame,min_count,int,>=0,Not Required,0
pd.sum(),pandas.core.frame.DataFrame,**kwargs,dict,any keyword args,Not Required,{}
pd.sum(),pandas.core.groupby.generic.SeriesGroupBy,numeric_only,bool,True or False,Not Required,FALSE
pd.sum(),pandas.core.groupby.generic.SeriesGroupBy,min_count,int,>=0,Not Required,0
pd.sum(),pandas.core.groupby.generic.SeriesGroupBy,engine,str,cython' or 'numba',Not Required,None
pd.sum(),pandas.core.groupby.generic.SeriesGroupBy,engine_kwargs,dict,valid engine kwargs,Not Required,None
pd.sum(),pandas.core.groupby.generic.DataFrameGroupBy,numeric_only,bool,True or False,Not Required,FALSE
pd.sum(),pandas.core.groupby.generic.DataFrameGroupBy,min_count,int,>=0,Not Required,0
pd.sum(),pandas.core.groupby.generic.DataFrameGroupBy,engine,str,cython' or 'numba',Not Required,None
pd.sum(),pandas.core.groupby.generic.DataFrameGroupBy,engine_kwargs,dict,valid engine kwargs,Not Required,None
pd.any(),pandas.core.series.Series,axis,int or None,0 or None,Not Required,0
pd.any(),pandas.core.series.Series,bool_only,bool or None,True/False/None,Not Required,FALSE
pd.any(),pandas.core.series.Series,skipna,bool,True or False,Not Required,TRUE
pd.any(),pandas.core.series.Series,**kwargs,dict,any keyword args,Not Required,{}
pd.any(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.any(),pandas.core.frame.DataFrame,bool_only,bool or None,True/False/None,Not Required,FALSE
